temperatura,humidade,minutos,nivel
20,49,481,1
23,49,489,1
21,51,480,1
22,54,486,1
23,55,484,1
23,52,480,1
23,51,483,1
23,55,487,1
23,49,490,1
23,52,480,1
21,50,489,1
20,49,489,1
23,51,482,1
21,50,482,1
20,48,485,1
20,50,485,1
21,54,486,1
22,49,485,1
20,49,480,1
22,48,483,1
21,50,486,1
21,50,487,1
21,53,482,1
23,50,488,1
22,48,485,1
21,55,484,1
20,49,484,1
20,51,486,1
21,52,489,1
21,50,483,1
22,52,483,1
22,54,485,1
20,53,488,1
20,55,482,1
22,50,489,1
22,49,483,1
22,54,483,1
21,55,480,1
20,51,485,1
23,51,486,1
21,50,490,1
20,48,485,1
21,48,481,1
22,54,481,1
21,51,487,1
23,51,487,1
20,51,488,1
23,50,481,1
22,55,480,1
23,54,485,1
20,51,480,1
22,55,481,1
20,54,484,1
23,55,487,1
20,52,484,1
22,51,489,1
21,55,480,1
23,55,481,1
21,52,481,1
22,48,489,1
20,55,485,1
23,50,483,1
21,50,482,1
23,51,484,1
22,51,485,1
22,48,487,1
21,54,485,1
22,55,480,1
21,48,490,1
22,48,484,1
21,51,480,1
20,50,485,1
20,49,485,1
21,51,480,1
22,51,484,1
20,54,485,1
23,53,489,1
21,53,483,1
20,50,488,1
22,50,489,1
22,52,485,1
21,51,482,1
23,55,486,1
20,53,490,1
23,52,489,1
23,48,484,1
22,55,482,1
21,49,484,1
22,49,488,1
21,52,488,1
21,53,483,1
23,49,484,1
20,48,484,1
22,48,486,1
22,52,481,1
21,48,482,1
23,48,486,1
20,50,490,1
22,53,485,1
21,53,484,1
20,48,488,1
22,54,482,1
20,52,483,1
23,52,482,1
23,53,488,1
20,54,481,1
21,53,483,1
20,48,481,1
20,52,482,1
20,48,483,1
22,52,481,1
23,51,489,1
20,55,486,1
23,52,482,1
22,50,482,1
20,50,482,1
21,51,487,1
23,54,487,1
21,53,483,1
21,55,489,1
23,52,489,1
20,52,488,1
21,55,485,1
23,55,484,1
22,51,488,1
21,55,490,1
20,55,487,1
20,49,488,1
22,52,485,1
23,48,488,1
23,53,483,1
20,52,485,1
22,50,485,1
20,51,483,1
21,52,485,1
23,54,487,1
23,54,490,1
21,53,485,1
20,52,490,1
20,50,490,1
22,48,490,1
23,53,484,1
20,50,489,1
21,49,489,1
20,51,486,1
20,55,484,1
23,48,480,1
20,50,487,1
20,52,481,1
20,50,489,1
23,50,483,1
22,53,481,1
23,52,490,1
21,54,480,1
21,55,486,1
23,49,480,1
21,53,488,1
21,54,489,1
23,48,489,1
22,49,482,1
20,53,485,1
20,52,481,1
20,55,490,1
20,51,488,1
23,48,483,1
20,52,489,1
20,54,488,1
21,48,483,1
22,52,481,1
23,55,482,1
23,53,484,1
22,52,484,1
22,52,485,1
23,54,486,1
20,49,486,1
21,48,485,1
20,55,485,1
20,50,482,1
20,53,487,1
23,53,485,1
23,53,480,1
23,53,486,1
23,52,490,1
23,51,483,1
20,51,484,1
23,50,482,1
23,49,488,1
21,51,481,1
23,49,489,1
21,54,486,1
21,52,490,1
22,55,489,1
20,51,486,1
23,53,484,1
20,49,489,1
22,52,489,1
22,51,489,1
20,49,481,1
21,54,480,1
22,52,488,1
21,54,480,1
23,55,488,1
21,48,482,1
20,52,482,1
22,53,484,1
20,52,482,1
22,53,488,1
22,48,486,1
23,52,484,1
20,49,486,1
22,53,487,1
21,51,481,1
22,51,480,1
21,51,484,1
20,50,482,1
21,49,486,1
21,49,485,1
20,50,483,1
20,51,484,1
20,50,480,1
22,48,487,1
21,51,489,1
22,52,483,1
20,51,480,1
20,52,484,1
23,48,488,1
21,50,489,1
23,53,484,1
23,49,484,1
23,49,490,1
23,52,486,1
22,52,489,1
23,48,482,1
20,54,487,1
20,51,486,1
20,51,489,1
23,52,482,1
22,50,483,1
21,55,480,1
21,53,490,1
23,50,488,1
23,51,483,1
23,55,488,1
21,50,489,1
23,52,487,1
23,50,483,1
22,54,485,1
22,53,482,1
20,52,484,1
23,51,486,1
23,50,484,1
20,48,482,1
20,49,486,1
22,49,490,1
23,53,488,1
20,50,480,1
21,51,481,1
21,51,486,1
21,50,483,1
23,50,487,1
20,48,482,1
22,52,486,1
22,48,486,1
23,48,489,1
23,48,486,1
20,53,488,1
21,48,482,1
22,52,483,1
22,48,490,1
20,53,489,1
20,48,490,1
22,55,488,1
20,54,483,1
21,55,487,1
22,54,485,1
20,50,487,1
21,53,483,1
22,52,480,1
22,50,483,1
22,54,485,1
23,49,489,1
21,51,481,1
21,49,480,1
22,51,483,1
22,48,490,1
20,49,482,1
23,53,480,1
20,53,489,1
22,50,486,1
22,53,481,1
21,51,483,1
22,55,490,1
20,49,488,1
20,52,490,1
20,52,481,1
21,51,484,1
21,55,483,1
22,51,490,1
20,55,490,1
23,54,481,1
22,50,490,1
23,50,480,1
20,49,480,1
21,49,487,1
22,51,485,1
23,55,486,1
22,55,486,1
23,53,484,1
23,54,486,1
23,55,488,1
21,50,484,1
20,50,489,1
22,49,489,1
21,49,486,1
20,54,484,1
23,49,487,1
22,55,484,1
22,48,482,1
20,52,489,1
22,52,480,1
20,51,485,1
21,49,482,1
22,50,480,1
22,50,483,1
21,50,484,1
22,51,488,1
22,51,485,1
23,48,489,1
20,54,489,1
21,48,485,1
23,53,483,1
20,52,486,1
22,48,487,1
21,54,485,1
22,52,488,1
20,55,485,1
23,53,485,1
23,54,488,1
23,48,481,1
23,51,484,1
23,50,486,1
21,53,486,1
23,50,486,1
21,54,487,1
23,50,480,1
22,48,487,1
20,52,485,1
21,55,485,1
20,50,482,1
20,52,480,1
22,49,488,1
23,48,480,1
22,53,489,1
20,52,485,1
23,50,484,1
22,54,489,1
21,54,485,1
23,51,486,1
23,51,482,1
23,50,480,1
21,50,485,1
23,55,482,1
21,55,489,1
20,48,486,1
21,55,480,1
22,53,482,1
23,54,487,1
22,52,484,1
21,53,487,1
23,53,482,1
23,49,490,1
22,55,487,1
23,52,482,1
23,52,483,1
22,53,482,1
20,54,485,1
21,53,484,1
20,55,485,1
20,51,486,1
20,55,483,1
20,51,481,1
22,49,489,1
20,55,488,1
21,55,480,1
23,54,480,1
20,52,489,1
23,54,487,1
23,48,488,1
22,49,489,1
20,55,484,1
20,54,484,1
22,53,480,1
21,51,489,1
20,50,486,1
20,50,483,1
21,54,490,1
21,49,488,1
21,49,487,1
20,54,482,1
20,48,488,1
20,55,482,1
23,53,487,1
23,50,489,1
22,55,482,1
21,49,488,1
22,54,480,1
22,49,482,1
21,53,482,1
20,54,484,1
20,49,482,1
22,50,483,1
21,53,486,1
22,49,485,1
20,52,487,1
22,52,485,1
21,48,485,1
22,54,485,1
21,54,483,1
20,54,490,1
20,51,484,1
23,52,481,1
23,54,485,1
21,51,485,1
20,52,487,1
20,48,481,1
23,52,486,1
21,52,487,1
20,53,488,1
21,49,485,1
20,52,488,1
21,53,486,1
22,50,488,1
21,52,490,1
21,48,481,1
21,53,485,1
21,55,488,1
22,49,482,1
20,49,482,1
23,53,483,1
23,55,490,1
20,49,482,1
21,49,489,1
23,51,484,1
23,53,489,1
22,55,487,1
23,51,486,1
23,55,483,1
22,51,487,1
20,53,489,1
20,55,480,1
23,49,488,1
20,52,486,1
23,51,486,1
23,52,486,1
20,51,487,1
22,48,487,1
21,54,490,1
23,48,490,1
20,55,483,1
20,55,488,1
21,49,481,1
21,52,486,1
20,48,482,1
20,50,489,1
20,55,488,1
23,51,481,1
21,50,487,1
20,48,487,1
21,49,488,1
22,48,490,1
22,50,485,1
20,50,488,1
23,48,480,1
20,53,481,1
20,55,486,1
22,53,482,1
20,52,485,1
21,52,484,1
21,55,483,1
21,51,483,1
22,53,480,1
22,49,489,1
23,52,482,1
21,48,486,1
22,49,481,1
23,49,485,1
21,54,486,1
20,51,481,1
21,48,481,1
21,48,484,1
22,52,486,1
23,55,489,1
21,54,482,1
20,53,484,1
21,54,481,1
22,55,486,1
20,49,487,1
20,54,482,1
21,55,490,1
21,48,488,1
22,53,482,1
23,48,484,1
21,52,484,1
22,51,486,1
23,48,485,1
20,55,488,1
21,48,481,1
23,48,482,1
22,54,489,1
20,54,480,1
23,54,489,1
23,50,489,1
20,48,484,1
23,50,490,1
21,50,486,1
23,51,487,1
21,55,487,1
23,49,484,1
21,49,480,1
23,51,485,1
21,53,483,1
21,50,482,1
21,52,488,1
22,48,490,1
21,49,487,1
22,49,481,1
20,48,480,1
21,54,489,1
22,54,488,1
22,51,490,1
23,55,487,1
23,51,487,1
23,53,480,1
23,53,483,1
22,54,485,1
23,50,489,1
20,48,487,1
23,51,480,1
22,52,490,1
20,50,483,1
21,53,489,1
20,55,480,1
20,53,483,1
22,54,487,1
23,53,488,1
22,51,482,1
22,55,488,1
21,54,483,1
22,54,484,1
20,53,486,1
20,53,481,1
23,54,488,1
21,50,490,1
20,53,480,1
20,50,488,1
22,55,484,1
21,52,482,1
20,55,488,1
20,54,483,1
20,52,481,1
23,54,489,1
21,55,481,1
20,51,489,1
20,55,482,1
20,49,486,1
20,48,484,1
23,53,485,1
22,55,486,1
21,55,484,1
20,48,483,1
23,48,486,1
23,52,483,1
23,50,489,1
20,53,482,1
20,55,485,1
22,51,480,1
20,53,485,1
20,50,487,1
23,54,488,1
20,50,487,1
23,49,489,1
22,48,487,1
20,49,484,1
22,53,483,1
22,52,480,1
20,48,487,1
20,51,486,1
23,50,485,1
21,52,490,1
23,53,488,1
21,55,480,1
20,51,489,1
21,50,488,1
21,55,480,1
22,55,488,1
23,55,482,1
20,49,486,1
23,49,487,1
20,49,486,1
20,55,482,1
20,53,486,1
23,49,490,1
21,54,483,1
23,52,484,1
23,52,490,1
22,50,482,1
20,54,481,1
23,53,488,1
23,50,486,1
22,55,484,1
22,53,488,1
23,54,480,1
23,50,490,1
20,50,488,1
23,48,480,1
20,55,480,1
22,48,483,1
23,55,490,1
22,54,490,1
22,49,485,1
20,49,488,1
20,49,490,1
21,54,483,1
21,54,481,1
21,55,486,1
22,54,488,1
21,55,483,1
22,54,486,1
20,48,480,1
23,53,480,1
22,49,484,1
20,55,483,1
22,51,480,1
21,53,486,1
20,53,481,1
22,51,483,1
22,55,488,1
21,50,486,1
20,52,481,1
22,54,487,1
22,50,482,1
21,53,487,1
20,51,486,1
20,52,486,1
23,54,481,1
23,53,489,1
21,52,489,1
23,53,480,1
22,51,484,1
22,51,486,1
20,50,488,1
23,48,487,1
21,52,490,1
22,52,481,1
20,49,483,1
21,53,488,1
23,52,489,1
21,48,482,1
21,51,488,1
23,51,480,1
23,52,480,1
23,50,489,1
22,51,485,1
21,50,481,1
21,49,490,1
22,52,483,1
22,53,484,1
22,51,485,1
21,55,490,1
22,48,486,1
23,51,482,1
22,49,483,1
20,52,481,1
23,55,481,1
21,49,487,1
22,49,485,1
23,50,484,1
21,51,489,1
21,54,486,1
23,55,485,1
20,53,483,1
20,52,481,1
22,49,480,1
20,48,483,1
21,49,484,1
21,54,485,1
22,54,482,1
21,55,481,1
20,48,487,1
20,49,480,1
21,55,484,1
21,50,486,1
20,53,486,1
22,54,489,1
20,52,480,1
20,50,487,1
20,51,483,1
23,53,490,1
21,49,481,1
20,48,485,1
22,52,484,1
21,55,490,1
23,50,480,1
20,48,488,1
20,54,488,1
23,54,490,1
22,53,490,1
22,52,483,1
20,48,485,1
21,51,483,1
22,55,481,1
21,48,480,1
20,50,490,1
23,55,480,1
22,51,485,1
23,54,486,1
23,48,481,1
23,54,487,1
22,54,490,1
20,54,480,1
23,48,480,1
22,53,490,1
21,49,487,1
22,54,480,1
20,51,483,1
20,49,486,1
23,49,487,1
23,52,489,1
22,51,490,1
20,49,490,1
20,51,485,1
20,54,488,1
22,54,485,1
22,54,480,1
20,51,483,1
20,52,487,1
20,49,490,1
20,54,488,1
23,50,488,1
23,48,484,1
20,52,480,1
23,53,487,1
23,49,490,1
23,50,490,1
23,52,484,1
22,52,481,1
21,52,487,1
21,54,484,1
21,55,490,1
21,55,490,1
20,54,485,1
23,51,490,1
21,50,480,1
20,54,480,1
22,53,486,1
23,54,490,1
20,55,485,1
23,52,482,1
22,48,486,1
22,55,480,1
23,53,480,1
20,55,485,1
21,48,490,1
20,48,484,1
22,49,488,1
23,50,486,1
23,52,487,1
23,49,481,1
20,53,482,1
22,53,487,1
20,52,490,1
22,52,482,1
22,54,482,1
20,49,487,1
21,54,483,1
21,51,485,1
22,51,486,1
23,55,483,1
20,52,489,1
22,53,480,1
23,52,481,1
23,52,489,1
22,55,486,1
23,48,490,1
22,48,486,1
21,51,484,1
22,49,480,1
23,55,483,1
23,49,489,1
20,50,488,1
23,48,480,1
21,53,489,1
23,54,483,1
21,48,485,1
23,49,486,1
23,55,482,1
21,52,484,1
20,50,483,1
20,53,483,1
23,55,490,1
22,55,490,1
22,55,480,1
22,52,482,1
23,54,489,1
23,49,485,1
21,48,489,1
20,51,485,1
21,50,484,1
21,55,490,1
21,52,490,1
22,53,490,1
23,48,485,1
20,49,484,1
23,48,481,1
22,50,482,1
21,50,489,1
23,48,488,1
21,51,496,0
22,53,491,0
23,49,496,0
20,54,500,0
23,48,495,0
20,48,492,0
21,50,497,0
23,50,496,0
23,51,499,0
22,50,491,0
23,48,494,0
23,55,492,0
21,54,491,0
20,49,495,0
23,49,500,0
20,55,493,0
22,51,499,0
22,54,499,0
20,54,491,0
22,55,494,0
21,52,498,0
22,52,498,0
20,53,492,0
22,53,499,0
20,48,495,0
21,52,499,0
20,54,496,0
22,55,495,0
21,53,500,0
23,51,500,0
22,54,499,0
23,53,497,0
22,52,500,0
22,50,500,0
23,52,496,0
21,48,493,0
20,51,499,0
21,50,493,0
23,55,497,0
22,55,495,0
21,51,494,0
20,53,500,0
21,50,492,0
23,53,491,0
22,51,494,0
22,53,495,0
23,54,495,0
21,48,497,0
22,50,500,0
21,55,492,0
21,55,498,0
23,51,492,0
22,48,500,0
21,50,492,0
21,54,494,0
21,50,492,0
21,48,495,0
20,48,498,0
21,48,498,0
21,52,499,0
21,54,497,0
23,55,497,0
22,49,497,0
22,53,498,0
20,48,496,0
21,51,494,0
23,49,498,0
20,49,497,0
23,51,499,0
23,49,496,0
23,50,493,0
23,50,498,0
22,54,492,0
23,48,493,0
23,55,496,0
23,49,491,0
23,49,492,0
23,49,496,0
20,50,498,0
20,50,493,0
21,55,497,0
20,48,491,0
21,48,499,0
21,54,500,0
21,49,500,0
23,55,494,0
23,50,495,0
22,49,492,0
22,51,491,0
22,55,498,0
22,54,492,0
21,48,496,0
21,52,498,0
23,53,500,0
23,53,496,0
20,55,499,0
22,51,492,0
22,50,491,0
20,53,498,0
23,51,493,0
22,49,498,0
21,51,496,0
23,49,492,0
23,48,498,0
21,48,499,0
23,49,496,0
21,54,492,0
20,49,494,0
21,48,491,0
20,48,491,0
21,55,495,0
21,51,491,0
22,50,493,0
20,51,491,0
21,55,495,0
23,53,493,0
21,54,491,0
22,55,495,0
20,52,492,0
21,54,496,0
23,48,491,0
20,55,497,0
20,55,495,0
21,50,496,0
23,53,491,0
23,50,495,0
20,50,495,0
20,49,494,0
23,50,491,0
22,48,495,0
21,55,498,0
20,54,499,0
22,48,498,0
21,48,495,0
21,52,500,0
23,51,493,0
20,52,495,0
20,54,499,0
21,55,498,0
22,54,496,0
23,54,492,0
20,54,491,0
20,50,493,0
22,54,496,0
21,51,493,0
20,52,497,0
23,52,497,0
23,51,499,0
21,55,494,0
21,49,492,0
22,49,498,0
20,51,496,0
23,51,499,0
20,53,491,0
22,53,492,0
20,53,499,0
23,53,494,0
20,49,491,0
22,49,495,0
22,53,493,0
23,52,497,0
23,53,491,0
21,55,497,0
21,51,492,0
23,50,500,0
21,54,497,0
21,53,496,0
22,55,499,0
20,50,495,0
21,50,491,0
21,55,493,0
23,51,498,0
23,49,491,0
20,51,494,0
23,51,499,0
23,51,499,0
23,54,493,0
20,50,498,0
21,51,491,0
20,52,499,0
23,55,500,0
23,51,491,0
23,48,493,0
23,52,499,0
22,48,498,0
23,50,493,0
23,53,497,0
23,48,496,0
22,50,493,0
22,49,493,0
20,50,493,0
22,53,499,0
22,54,500,0
23,48,495,0
21,51,495,0
20,51,499,0
23,54,494,0
22,55,492,0
21,51,498,0
21,54,493,0
23,54,495,0
22,53,499,0
23,54,491,0
22,55,495,0
23,50,492,0
21,48,492,0
20,52,500,0
23,51,499,0
23,48,499,0
21,48,498,0
20,51,499,0
22,51,495,0
21,49,498,0
23,55,493,0
22,52,497,0
23,55,495,0
20,48,497,0
23,49,493,0
22,54,494,0
22,51,495,0
23,52,494,0
23,55,497,0
21,48,497,0
20,54,500,0
21,50,500,0
23,55,497,0
22,51,492,0
22,49,496,0
22,49,497,0
22,51,492,0
23,49,499,0
20,52,495,0
21,50,498,0
23,48,491,0
20,51,498,0
22,51,494,0
20,52,497,0
22,52,500,0
22,54,495,0
21,53,491,0
20,49,496,0
22,54,492,0
20,55,499,0
22,53,493,0
20,50,499,0
20,50,498,0
22,48,498,0
21,52,497,0
20,55,498,0
23,49,491,0
22,49,494,0
20,49,493,0
21,48,498,0
22,48,492,0
22,53,499,0
21,48,492,0
23,54,492,0
23,48,494,0
21,49,492,0
22,52,495,0
22,54,496,0
21,53,494,0
21,48,497,0
20,53,493,0
23,51,499,0
20,50,500,0
21,54,500,0
22,48,497,0
23,48,499,0
20,55,498,0
21,54,493,0
21,55,495,0
21,52,498,0
21,49,492,0
22,50,498,0
20,49,499,0
23,51,496,0
23,50,491,0
22,53,500,0
20,50,493,0
20,49,497,0
22,49,499,0
21,50,499,0
23,50,497,0
20,55,497,0
22,48,494,0
21,55,492,0
23,53,498,0
20,55,500,0
21,54,498,0
20,51,498,0
21,55,494,0
20,49,499,0
20,48,496,0
20,49,497,0
20,51,497,0
21,54,495,0
21,52,498,0
23,55,498,0
23,51,497,0
23,55,492,0
23,52,493,0
20,54,497,0
20,54,492,0
22,53,499,0
22,48,497,0
20,55,498,0
20,49,498,0
20,55,494,0
22,53,500,0
21,53,492,0
23,49,497,0
23,53,495,0
23,54,496,0
20,53,493,0
20,49,494,0
23,49,492,0
20,48,491,0
23,49,499,0
21,55,493,0
21,55,497,0
20,50,493,0
21,52,500,0
22,52,492,0
22,52,496,0
22,54,492,0
20,50,495,0
21,49,493,0
22,48,497,0
20,53,494,0
22,50,491,0
21,53,492,0
20,48,498,0
21,54,496,0
20,48,493,0
21,51,495,0
20,53,497,0
22,51,500,0
22,51,494,0
22,52,493,0
23,49,499,0
23,49,499,0
22,52,492,0
21,50,500,0
22,49,495,0
23,52,491,0
22,51,492,0
20,49,495,0
23,50,500,0
21,51,493,0
23,52,493,0
20,55,493,0
23,51,492,0
21,50,495,0
22,49,494,0
21,51,496,0
22,50,497,0
23,51,493,0
23,49,496,0
20,53,500,0
20,53,497,0
20,52,493,0
22,48,492,0
21,52,497,0
23,54,496,0
23,49,492,0
23,54,499,0
22,50,499,0
23,49,496,0
20,52,492,0
22,50,494,0
21,51,493,0
20,48,496,0
22,54,497,0
23,55,494,0
22,53,499,0
21,50,498,0
22,48,499,0
21,52,492,0
21,54,493,0
20,48,500,0
23,55,499,0
23,54,494,0
21,54,495,0
23,49,500,0
21,55,499,0
21,48,497,0
20,50,495,0
21,51,496,0
20,50,499,0
21,54,491,0
23,52,494,0
21,49,497,0
23,48,497,0
23,48,500,0
23,50,499,0
20,53,492,0
22,48,495,0
21,48,492,0
21,53,493,0
21,53,496,0
20,55,496,0
23,53,498,0
20,54,496,0
21,55,492,0
21,50,495,0
23,52,496,0
20,49,492,0
21,54,495,0
23,54,491,0
21,52,492,0
21,52,499,0
22,54,497,0
21,52,495,0
23,55,494,0
23,49,492,0
20,55,500,0
20,55,499,0
21,50,492,0
20,50,499,0
21,52,499,0
22,50,494,0
20,48,498,0
23,54,494,0
23,49,497,0
21,48,496,0
23,54,496,0
22,51,492,0
21,50,497,0
23,53,495,0
22,48,498,0
21,55,500,0
23,48,494,0
20,55,494,0
20,50,495,0
20,52,499,0
23,55,499,0
21,55,496,0
20,50,493,0
20,52,494,0
21,55,492,0
23,52,496,0
20,49,497,0
22,53,492,0
23,51,494,0
20,51,495,0
23,51,494,0
23,54,497,0
23,52,497,0
20,49,498,0
21,52,493,0
21,49,497,0
20,48,493,0
22,54,498,0
21,49,495,0
23,52,500,0
20,54,493,0
23,51,496,0
21,55,500,0
21,53,492,0
23,54,493,0
22,48,500,0
21,48,491,0
22,55,495,0
22,48,494,0
22,54,495,0
21,51,498,0
21,48,493,0
21,49,496,0
23,50,498,0
21,51,500,0
23,51,492,0
20,49,493,0
22,53,495,0
23,50,500,0
23,53,495,0
21,53,493,0
20,53,492,0
22,49,500,0
22,49,497,0
21,48,495,0
20,53,491,0
23,55,494,0
23,54,499,0
23,48,492,0
21,49,497,0
21,54,498,0
22,48,500,0
23,48,493,0
21,52,499,0
21,49,494,0
23,52,492,0
20,54,494,0
22,51,497,0
23,54,491,0
22,51,492,0
23,48,495,0
23,51,492,0
21,53,493,0
20,54,499,0
20,54,500,0
20,51,497,0
21,49,500,0
23,50,498,0
20,52,500,0
23,54,491,0
23,51,491,0
23,48,495,0
20,52,492,0
21,53,497,0
20,54,494,0
20,49,492,0
23,55,497,0
22,54,498,0
23,55,499,0
23,49,495,0
21,49,496,0
22,54,495,0
22,49,497,0
21,50,494,0
20,53,492,0
21,51,500,0
20,49,498,0
23,55,491,0
22,54,497,0
21,51,498,0
22,48,495,0
20,48,494,0
21,55,492,0
21,51,498,0
22,53,500,0
23,50,497,0
21,49,493,0
23,49,499,0
21,53,499,0
22,53,499,0
23,49,494,0
20,54,497,0
20,54,493,0
22,53,498,0
21,53,498,0
23,54,491,0
20,55,497,0
23,54,498,0
20,54,491,0
22,52,495,0
22,54,494,0
21,54,496,0
21,54,495,0
23,52,491,0
20,53,494,0
20,53,492,0
23,50,492,0
21,52,498,0
22,52,497,0
21,55,500,0
20,51,493,0
20,48,500,0
20,51,496,0
23,50,491,0
20,49,491,0
20,52,492,0
20,54,499,0
22,52,493,0
23,54,492,0
21,51,493,0
23,50,492,0
21,54,499,0
23,51,494,0
21,55,500,0
22,54,495,0
20,54,492,0
21,48,500,0
21,48,497,0
23,48,495,0
23,54,500,0
22,52,500,0
20,55,498,0
23,52,496,0
22,48,492,0
23,55,491,0
20,52,499,0
20,52,495,0
22,52,491,0
22,54,494,0
20,50,491,0
23,54,500,0
23,50,498,0
21,50,491,0
22,51,497,0
22,54,496,0
22,53,491,0
21,51,497,0
21,55,491,0
21,49,493,0
20,52,493,0
20,55,493,0
22,52,497,0
23,51,496,0
22,49,493,0
23,55,494,0
23,55,497,0
21,54,495,0
20,49,498,0
21,51,498,0
23,49,491,0
20,51,492,0
22,50,494,0
22,54,495,0
22,48,494,0
20,50,497,0
20,54,499,0
20,48,499,0
23,55,491,0
21,53,499,0
23,50,493,0
22,53,493,0
20,54,492,0
21,51,495,0
23,51,493,0
21,48,492,0
23,49,497,0
22,48,493,0
22,54,493,0
22,53,499,0
23,53,492,0
23,55,494,0
20,50,499,0
23,55,493,0
22,50,497,0
20,49,497,0
21,55,497,0
21,50,496,0
20,52,499,0
22,55,491,0
21,54,496,0
22,52,493,0
23,48,499,0
23,50,493,0
21,52,495,0
21,48,495,0
23,49,496,0
20,49,492,0
23,50,491,0
21,55,497,0
22,54,499,0
23,54,498,0
22,48,495,0
22,53,499,0
22,50,498,0
20,50,491,0
23,52,494,0
20,50,494,0
22,55,498,0
21,48,498,0
22,51,496,0
23,52,496,0
21,52,496,0
22,51,497,0
21,49,498,0
20,53,492,0
20,55,496,0
22,54,498,0
20,51,496,0
22,49,491,0
23,52,496,0
22,52,498,0
23,54,499,0
20,49,498,0
21,54,499,0
22,52,495,0
20,51,496,0
23,49,492,0
22,54,496,0
22,48,495,0
20,49,493,0
21,50,491,0
21,49,495,0
20,53,500,0
22,51,492,0
22,53,497,0
22,51,500,0
20,55,499,0
22,55,491,0
22,49,491,0
23,48,498,0
23,52,493,0
22,50,495,0
23,48,499,0
21,55,496,0
20,52,493,0
21,49,493,0
22,52,492,0
22,52,499,0
20,51,498,0
20,53,491,0
23,50,493,0
22,51,493,0
21,55,495,0
20,48,492,0
21,52,492,0
20,49,492,0
20,54,500,0
22,53,492,0
20,49,496,0
20,50,495,0
22,48,495,0
23,55,499,0
23,54,493,0
23,50,494,0
21,49,495,0
20,51,491,0
21,49,497,0
23,49,495,0
22,53,497,0
23,54,499,0
23,49,491,0
21,52,500,0
20,51,497,0
22,55,495,0
20,49,500,0
20,52,498,0
20,53,494,0
22,55,493,0
21,50,494,0
22,53,498,0
21,52,495,0
23,50,491,0
23,51,492,0
21,48,498,0
20,49,492,0
23,52,493,0
21,51,491,0
23,49,500,0
23,55,498,0
20,52,496,0
23,51,495,0
23,49,500,0
23,53,500,0
22,55,499,0
23,50,493,0
21,48,498,0
22,49,498,0
22,49,491,0
21,53,493,0
