temperatura,humidade,horario,dia_da_semana,nivel
30,55,1113,5,1
30,48,1114,5,1
27,49,1116,5,1
29,55,1090,5,1
27,49,1135,5,1
30,48,1113,5,1
29,53,1098,5,1
29,49,1101,5,1
30,49,1117,5,1
28,48,1125,5,1
27,51,1122,5,1
29,53,1086,5,1
30,50,1133,5,1
30,53,1120,5,1
30,51,1086,5,1
30,53,1119,5,1
28,52,1084,5,1
28,48,1095,5,1
30,48,1118,5,1
30,51,1130,5,1
28,51,1113,5,1
29,48,1129,5,1
27,48,1102,5,1
27,55,1113,5,1
30,55,1080,5,1
29,52,1081,5,1
30,50,1093,5,1
29,49,1108,5,1
28,53,1083,5,1
27,54,1088,5,1
27,51,1126,5,1
29,49,1093,5,1
29,52,1109,5,1
30,50,1120,5,1
30,54,1096,5,1
28,48,1105,5,1
28,52,1109,5,1
27,55,1085,5,1
29,53,1139,5,1
29,50,1096,5,1
28,54,1136,5,1
27,49,1131,5,1
28,53,1103,5,1
30,48,1088,5,1
27,48,1081,5,1
28,49,1114,5,1
29,50,1130,5,1
29,50,1080,5,1
28,50,1107,5,1
27,50,1137,5,1
30,49,1105,5,1
28,50,1134,5,1
27,48,1131,5,1
30,52,1109,5,1
29,55,1117,5,1
30,52,1088,5,1
30,48,1085,5,1
28,52,1116,5,1
29,52,1082,5,1
28,48,1085,5,1
28,50,1139,5,1
27,48,1099,5,1
29,54,1126,5,1
28,50,1132,5,1
29,53,1082,5,1
29,53,1098,5,1
30,54,1098,5,1
27,53,1130,5,1
28,50,1132,5,1
27,52,1094,5,1
27,51,1084,5,1
30,55,1112,5,1
28,53,1102,5,1
28,53,1131,5,1
30,53,1109,5,1
30,52,1089,5,1
27,51,1096,5,1
29,50,1138,5,1
28,49,1117,5,1
30,54,1086,5,1
27,49,1102,5,1
29,55,1132,5,1
28,51,1092,5,1
30,55,1087,5,1
29,54,1121,5,1
29,53,1120,5,1
27,52,1087,5,1
30,53,1137,5,1
27,50,1122,5,1
27,51,1137,5,1
28,51,1111,5,1
30,54,1113,5,1
30,55,1102,5,1
30,48,1117,5,1
27,52,1099,5,1
27,53,1127,5,1
30,54,1087,5,1
27,52,1083,5,1
30,51,1081,5,1
29,49,1133,5,1
29,54,1123,5,1
28,53,1095,5,1
27,53,1138,5,1
28,49,1124,5,1
27,54,1137,5,1
28,49,1082,5,1
28,48,1105,5,1
27,51,1087,5,1
29,49,1133,5,1
30,48,1103,5,1
30,50,1122,5,1
28,49,1119,5,1
30,53,1086,5,1
28,52,1115,5,1
27,48,1093,5,1
28,50,1120,5,1
28,50,1131,5,1
30,50,1117,5,1
29,49,1093,5,1
28,53,1097,5,1
27,50,1128,5,1
28,52,1094,5,1
27,55,1119,5,1
30,52,1095,5,1
29,51,1089,5,1
28,50,1137,5,1
28,48,1086,5,1
27,55,1130,5,1
28,55,1134,5,1
29,50,1120,5,1
30,48,1103,5,1
28,52,1091,5,1
30,54,1137,5,1
29,51,1096,5,1
29,48,1136,5,1
29,54,1129,5,1
29,48,1122,5,1
27,55,1099,5,1
27,55,1124,5,1
27,49,1107,5,1
27,51,1096,5,1
29,52,1085,5,1
27,55,1096,5,1
27,55,1105,5,1
27,52,1086,5,1
29,55,1133,5,1
29,53,1120,5,1
27,49,1099,5,1
28,55,1080,5,1
27,52,1112,5,1
28,55,1114,5,1
29,53,1124,5,1
29,54,1095,5,1
30,50,1135,5,1
27,50,1117,5,1
27,55,1104,5,1
29,52,1108,5,1
28,51,1113,5,1
28,52,1102,5,1
30,54,1089,5,1
30,48,1103,5,1
29,49,1113,5,1
28,55,1080,5,1
28,55,1129,5,1
27,51,1084,5,1
30,52,1106,5,1
28,53,1132,5,1
30,49,1132,5,1
30,48,1119,5,1
27,50,1137,5,1
29,49,1107,5,1
28,55,1096,5,1
27,53,1112,5,1
27,53,1103,5,1
30,55,1090,5,1
27,51,1105,5,1
27,49,1101,5,1
29,53,1127,5,1
27,52,1091,5,1
27,48,1130,5,1
30,48,1093,5,1
27,49,1128,5,1
29,54,1120,5,1
30,52,1135,5,1
28,51,1133,5,1
27,52,1106,5,1
27,49,1136,5,1
28,55,1096,5,1
28,54,1128,5,1
28,51,1126,5,1
29,49,1102,5,1
30,51,1130,5,1
30,53,1081,5,1
28,50,1096,5,1
29,52,1085,5,1
28,49,1097,5,1
27,52,1132,5,1
30,51,1114,5,1
28,53,1115,5,1
30,55,1093,5,1
29,54,1091,5,1
28,49,1126,5,1
27,52,1112,5,1
30,55,1111,5,1
30,51,1122,5,1
28,51,1110,5,1
30,50,1094,5,1
29,55,1130,5,1
29,52,1137,5,1
30,54,1126,5,1
30,51,1108,5,1
29,48,1140,5,1
28,55,1135,5,1
28,53,1134,5,1
29,51,1081,5,1
27,48,1102,5,1
28,52,1121,5,1
29,48,1098,5,1
30,48,1104,5,1
27,52,1110,5,1
28,50,1120,5,1
27,50,1087,5,1
27,52,1108,5,1
30,49,1101,5,1
27,49,1127,5,1
29,48,1101,5,1
29,52,1137,5,1
28,51,1116,5,1
28,52,1101,5,1
28,49,1088,5,1
27,50,1133,5,1
27,52,1090,5,1
28,54,1106,5,1
27,50,1115,5,1
27,53,1088,5,1
27,49,1122,5,1
27,55,1121,5,1
28,48,1091,5,1
30,52,1097,5,1
29,52,1134,5,1
28,55,1082,5,1
28,51,1138,5,1
28,52,1121,5,1
27,55,1095,5,1
30,53,1100,5,1
29,54,1129,5,1
28,53,1086,5,1
28,55,1113,5,1
28,49,1096,5,1
30,48,1116,5,1
30,52,1130,5,1
27,51,1101,5,1
27,54,1110,5,1
28,49,1088,5,1
29,48,1107,5,1
30,54,1080,5,1
30,55,1087,5,1
30,51,1080,5,1
28,51,1101,5,1
27,50,1102,5,1
28,48,1095,5,1
28,55,1127,5,1
29,53,1093,5,1
29,49,1133,5,1
29,50,1105,5,1
28,48,1082,5,1
28,52,1086,5,1
28,49,1111,5,1
30,49,1127,5,1
27,49,1113,5,1
30,54,1138,5,1
29,51,1139,5,1
27,50,1133,5,1
29,52,1125,5,1
28,55,1093,5,1
29,54,1104,5,1
28,55,1108,5,1
29,52,1108,5,1
30,53,1101,5,1
30,52,1117,5,1
27,49,1139,5,1
29,48,1100,5,1
30,51,1124,5,1
29,48,1114,5,1
30,54,1121,5,1
30,53,1140,5,1
29,48,1127,5,1
29,51,1088,5,1
30,50,1106,5,1
30,54,1080,5,1
29,48,1092,5,1
28,50,1135,5,1
28,50,1101,5,1
29,52,1092,5,1
29,52,1097,5,1
29,53,1127,5,1
29,54,1106,5,1
27,53,1112,5,1
30,55,1135,5,1
30,50,1090,5,1
28,55,1092,5,1
29,51,1129,5,1
30,53,1086,5,1
30,48,1136,5,1
30,55,1138,5,1
30,49,1102,5,1
27,49,1130,5,1
27,49,1116,5,1
30,49,1098,5,1
29,51,1103,5,1
30,49,1096,5,1
28,51,1120,5,1
28,53,1109,5,1
30,49,1115,5,1
28,51,1094,5,1
29,53,1117,5,1
30,54,1105,5,1
28,55,1099,5,1
29,54,1126,5,1
27,54,1138,5,1
27,55,1080,5,1
28,48,1121,5,1
27,49,1107,5,1
28,52,1125,5,1
28,48,1123,5,1
30,49,1121,5,1
28,53,1099,5,1
30,53,1135,5,1
28,50,1088,5,1
27,49,1138,5,1
27,53,1118,5,1
27,52,1102,5,1
30,52,1082,5,1
28,51,1106,5,1
29,48,1106,5,1
30,49,1093,5,1
28,52,1106,5,1
27,51,1104,5,1
30,51,1128,5,1
28,50,1103,5,1
27,48,1126,5,1
27,50,1139,5,1
28,52,1084,5,1
28,48,1104,5,1
30,48,1088,5,1
29,52,1114,5,1
30,54,1113,5,1
29,49,1100,5,1
27,54,1139,5,1
27,53,1100,5,1
30,48,1127,5,1
27,49,1100,5,1
28,51,1126,5,1
30,52,1130,5,1
30,55,1093,5,1
28,48,1104,5,1
29,54,1124,5,1
30,55,1095,5,1
28,52,1117,5,1
30,48,1085,5,1
27,55,1114,5,1
28,48,1119,5,1
30,51,1097,5,1
29,53,1133,5,1
27,53,1139,5,1
28,52,1086,5,1
28,49,1104,5,1
30,50,1092,5,1
28,50,1117,5,1
27,49,1129,5,1
29,50,1114,5,1
30,51,1103,5,1
30,49,1098,5,1
30,48,1132,5,1
30,50,1099,5,1
28,55,1132,5,1
29,52,1105,5,1
27,51,1097,5,1
28,55,1099,5,1
29,50,1137,5,1
29,52,1089,5,1
27,53,1122,5,1
28,50,1097,5,1
27,52,1128,5,1
29,48,1098,5,1
30,54,1130,5,1
30,54,1103,5,1
27,51,1088,5,1
29,50,1131,5,1
29,48,1090,5,1
29,49,1111,5,1
30,55,1133,5,1
29,49,1126,5,1
28,52,1095,5,1
27,48,1117,5,1
29,50,1138,5,1
29,52,1102,5,1
29,52,1134,5,1
27,54,1088,5,1
29,54,1091,5,1
27,55,1125,5,1
27,54,1124,5,1
27,55,1125,5,1
30,48,1093,5,1
29,51,1126,5,1
29,52,1127,5,1
27,54,1105,5,1
27,53,1094,5,1
29,55,1127,5,1
30,52,1110,5,1
29,48,1118,5,1
29,53,1116,5,1
28,50,1127,5,1
27,55,1085,5,1
27,51,1088,5,1
30,48,1126,5,1
28,48,1127,5,1
30,54,1116,5,1
30,49,1085,5,1
30,51,1129,5,1
29,51,1106,5,1
30,49,1082,5,1
27,48,1132,5,1
29,54,1117,5,1
28,52,1107,5,1
27,55,1121,5,1
29,54,1133,5,1
30,50,1092,5,1
30,54,1094,5,1
28,53,1086,5,1
27,54,1106,5,1
28,52,1103,5,1
29,51,1113,5,1
28,52,1125,5,1
29,54,1090,5,1
30,52,1132,5,1
29,51,1138,5,1
27,54,1100,5,1
30,48,1100,5,1
30,51,1138,5,1
30,53,1095,5,1
29,53,1097,5,1
30,50,1135,5,1
27,49,1091,5,1
30,48,1096,5,1
30,55,1127,5,1
30,48,1135,5,1
29,50,1136,5,1
28,55,1080,5,1
29,53,1121,5,1
29,48,1124,5,1
28,49,1109,5,1
27,53,1089,5,1
30,54,1118,5,1
29,48,1137,5,1
30,52,1080,5,1
28,49,1129,5,1
29,54,1113,5,1
30,55,1109,5,1
30,53,1127,5,1
29,50,1124,5,1
28,48,1126,5,1
29,49,1115,5,1
28,48,1114,5,1
27,51,1139,5,1
29,48,1137,5,1
28,52,1106,5,1
28,48,1131,5,1
28,50,1101,5,1
30,48,1086,5,1
30,53,1093,5,1
30,48,1130,5,1
30,48,1092,5,1
30,48,1132,5,1
29,52,1092,5,1
30,55,1140,5,1
30,48,1104,5,1
27,54,1084,5,1
30,55,1128,5,1
27,51,1093,5,1
29,55,1093,5,1
29,52,1091,5,1
29,55,1083,5,1
29,54,1082,5,1
29,48,1102,5,1
29,55,1128,5,1
30,49,1130,5,1
27,51,1114,5,1
30,53,1127,5,1
29,55,1137,5,1
27,49,1125,5,1
29,55,1133,5,1
27,53,1085,5,1
27,53,1095,5,1
28,48,1126,5,1
30,54,1093,5,1
27,52,1088,5,1
27,53,1109,5,1
28,48,1134,5,1
30,51,1100,5,1
30,50,1130,5,1
28,53,1104,5,1
27,53,1132,5,1
30,49,1126,5,1
30,51,1080,5,1
27,54,1129,5,1
30,49,1137,5,1
29,49,1114,5,1
30,53,1110,5,1
28,50,1118,5,1
29,52,1135,5,1
27,53,1126,5,1
28,48,1139,5,1
28,51,1109,5,1
27,54,1108,5,1
30,49,1115,5,1
28,49,1134,5,1
29,48,1090,5,1
27,52,1113,5,1
29,53,1139,5,1
30,50,1129,5,1
27,50,1110,5,1
29,49,1118,5,1
29,51,1094,5,1
27,53,1120,5,1
29,53,1112,5,1
28,48,1108,5,1
27,53,1098,5,1
27,55,1098,5,1
28,55,1106,5,1
29,53,1116,5,1
28,54,1099,5,1
29,55,1132,5,1
28,54,1110,5,1
28,50,1089,5,1
27,48,1095,5,1
27,49,1098,5,1
30,50,1115,5,1
30,54,1096,5,1
30,54,1133,5,1
28,53,1109,5,1
27,52,1089,5,1
30,51,1133,5,1
27,52,1113,5,1
29,50,1116,5,1
27,49,1116,5,1
27,55,1080,5,1
29,55,1084,5,1
29,55,1083,5,1
29,50,1138,5,1
29,49,1136,5,1
27,48,1134,5,1
27,52,1082,5,1
30,48,1126,5,1
30,51,1103,5,1
28,55,1116,5,1
29,50,1138,5,1
27,50,1136,5,1
27,50,1132,5,1
28,50,1088,5,1
28,55,1139,5,1
29,50,1088,5,1
29,51,1124,5,1
27,54,1119,5,1
29,49,1106,5,1
28,49,1107,5,1
27,51,1102,5,1
27,53,1129,5,1
28,55,1080,5,1
28,48,1089,5,1
27,55,1097,5,1
29,49,1122,5,1
27,52,1084,5,1
27,48,1086,5,1
28,53,1087,5,1
28,55,1102,5,1
27,48,1099,5,1
27,50,1089,5,1
30,52,1109,5,1
29,55,1136,5,1
29,55,1136,5,1
29,50,1091,5,1
29,51,1095,5,1
30,53,1117,5,1
28,50,1086,5,1
29,51,1133,5,1
27,53,1126,5,1
30,52,1135,5,1
30,54,1105,5,1
28,55,1086,5,1
27,55,1090,5,1
29,51,1134,5,1
28,50,1094,5,1
30,54,1101,5,1
28,52,1130,5,1
29,53,1137,5,1
29,55,1134,5,1
27,51,1119,5,1
27,48,1140,5,1
27,52,1097,5,1
27,53,1110,5,1
28,48,1086,5,1
28,48,1098,5,1
28,50,1090,5,1
29,51,1081,5,1
30,52,1113,5,1
29,48,1110,5,1
30,48,1108,5,1
28,53,1128,5,1
29,53,1083,5,1
30,52,1085,5,1
29,53,1134,5,1
30,49,1139,5,1
28,52,1111,5,1
28,55,1123,5,1
30,54,1100,5,1
29,49,1101,5,1
28,50,1087,5,1
30,54,1086,5,1
29,54,1122,5,1
28,55,1104,5,1
30,55,1120,5,1
29,52,1119,5,1
29,51,1125,5,1
30,48,1122,5,1
30,55,1121,5,1
27,53,1092,5,1
30,54,1103,5,1
29,53,1117,5,1
27,49,1088,5,1
29,51,1106,5,1
29,55,1120,5,1
28,48,1135,5,1
30,53,1131,5,1
27,55,1139,5,1
30,48,1114,5,1
29,49,1095,5,1
27,53,1115,5,1
28,48,1133,5,1
30,52,1096,5,1
30,50,1133,5,1
28,54,1099,5,1
29,53,1108,5,1
30,49,1106,5,1
30,54,1098,5,1
27,52,1139,5,1
30,54,1131,5,1
29,49,1111,5,1
29,55,1090,5,1
27,54,1135,5,1
30,55,1117,5,1
27,49,1107,5,1
29,50,1120,5,1
29,49,1136,5,1
27,55,1100,5,1
27,50,1114,5,1
29,52,1107,5,1
28,53,1082,5,1
30,52,1085,5,1
29,51,1080,5,1
27,50,1119,5,1
28,54,1097,5,1
30,54,1081,5,1
30,53,1103,5,1
27,54,1098,5,1
30,55,1129,5,1
29,55,1119,5,1
30,51,1081,5,1
29,52,1107,5,1
28,52,1103,5,1
27,49,1115,5,1
30,51,1114,5,1
30,51,1106,5,1
29,48,1117,5,1
28,51,1102,5,1
27,53,1098,5,1
27,49,1133,5,1
30,52,1105,5,1
29,51,1097,5,1
27,52,1101,5,1
27,51,1087,5,1
27,52,1085,5,1
29,49,1080,5,1
28,49,1084,5,1
28,49,1138,5,1
30,48,1120,5,1
28,53,1135,5,1
29,50,1099,5,1
27,48,1122,5,1
27,52,1122,5,1
27,51,1104,5,1
30,50,1135,5,1
27,55,1105,5,1
27,53,1138,5,1
27,54,1121,5,1
29,52,1099,5,1
30,51,1096,5,1
30,48,1104,5,1
27,50,1103,5,1
29,52,1124,5,1
27,54,1123,5,1
29,50,1098,5,1
28,48,1092,5,1
29,49,1097,5,1
30,51,1085,5,1
28,53,1109,5,1
30,48,1085,5,1
27,51,1103,5,1
28,52,1099,5,1
27,48,1112,5,1
30,49,1104,5,1
29,50,1088,5,1
28,53,1124,5,1
29,55,1137,5,1
29,54,1138,5,1
29,48,1132,5,1
28,51,1094,5,1
28,55,1092,5,1
28,53,1135,5,1
29,52,1138,5,1
28,51,1101,5,1
29,49,1120,5,1
28,54,1122,5,1
27,55,1134,5,1
30,51,1088,5,1
28,49,1096,5,1
29,52,1098,5,1
29,54,1113,5,1
29,55,1109,5,1
29,50,1113,5,1
29,53,1112,5,1
27,55,1109,5,1
29,55,1127,5,1
27,54,1134,5,1
28,53,1082,5,1
29,52,1129,5,1
29,55,1104,5,1
30,51,1083,5,1
29,54,1132,5,1
29,51,1107,5,1
30,52,1131,5,1
29,54,1111,5,1
28,55,1091,5,1
27,50,1140,5,1
28,49,1108,5,1
30,54,1080,5,1
30,50,1135,5,1
27,49,1104,5,1
30,53,1101,5,1
30,53,1106,5,1
29,55,1095,5,1
30,54,1120,5,1
28,49,1092,5,1
30,51,1132,5,1
29,55,1127,5,1
29,54,1137,5,1
27,49,1122,5,1
29,49,1099,5,1
30,50,1082,5,1
29,53,1118,5,1
29,52,1124,5,1
30,49,1093,5,1
30,50,1106,5,1
29,54,1122,5,1
28,54,1090,5,1
30,54,1137,5,1
30,52,1105,5,1
30,49,1107,5,1
29,49,1127,5,1
27,55,1103,5,1
28,54,1115,5,1
29,54,1108,5,1
28,54,1096,5,1
28,53,1118,5,1
27,55,1105,5,1
28,49,1096,5,1
30,48,1104,5,1
29,55,1118,5,1
28,54,1091,5,1
29,48,1114,5,1
30,54,1140,5,1
30,49,1084,5,1
28,54,1110,5,1
27,54,1132,5,1
29,52,1123,5,1
29,52,1130,5,1
27,51,1124,5,1
28,51,1126,5,1
30,52,1089,5,1
29,55,1096,5,1
29,53,1089,5,1
27,49,1108,5,1
30,48,1091,5,1
29,54,1114,5,1
30,55,1083,5,1
27,50,1094,5,1
28,52,1106,5,1
30,48,1085,5,1
30,51,1136,5,1
29,54,1087,5,1
29,55,1111,5,1
28,54,1090,5,1
29,48,1102,5,1
29,48,1099,5,1
30,48,1084,5,1
29,54,1108,5,1
29,53,1139,5,1
30,52,1115,5,1
30,52,1107,5,1
28,48,1100,5,1
30,53,1091,5,1
30,49,1126,5,1
28,52,1110,5,1
30,50,1109,5,1
28,50,1130,5,1
27,54,1114,5,1
30,54,1134,5,1
29,53,1095,5,1
27,48,1106,5,1
28,49,1108,5,1
28,48,1117,5,1
30,53,1086,5,1
30,50,1111,5,1
29,52,1087,5,1
29,55,1138,5,1
29,50,1096,5,1
30,48,1130,5,1
30,50,1132,5,1
27,55,1128,5,1
28,53,1113,5,1
27,48,1128,5,1
28,55,1082,5,1
28,52,1096,5,1
29,52,1098,5,1
28,48,1091,5,1
30,48,1089,5,1
29,55,1128,5,1
29,50,1084,5,1
29,54,1140,5,1
30,54,1133,5,1
29,54,1099,5,1
29,54,1116,5,1
30,48,1135,5,1
27,51,1100,5,1
30,55,1100,5,1
29,48,1129,5,1
30,52,1124,5,1
28,54,1093,5,1
28,50,1083,5,1
27,50,1136,5,1
28,55,1113,5,1
28,53,1121,5,1
27,53,1139,5,1
29,50,1081,5,1
30,51,1123,5,1
28,53,1100,5,1
29,54,1125,5,1
30,55,1128,5,1
27,55,1125,5,1
27,54,1081,5,1
28,48,1140,5,1
27,48,1130,5,1
29,54,1102,5,1
27,49,1122,5,1
30,52,1110,5,1
29,50,1109,5,1
30,52,1123,5,1
27,50,1126,5,1
29,53,1130,5,1
28,50,1088,5,1
30,49,1114,5,1
28,50,1139,5,1
30,52,1102,5,1
28,52,1097,5,1
29,53,1109,5,1
30,50,1083,5,1
28,55,1102,5,1
27,49,1119,5,1
29,50,1108,5,1
30,53,1083,5,1
29,50,1136,5,1
28,55,1096,5,1
28,50,1129,5,1
28,49,1107,5,1
28,50,1083,5,1
27,48,1092,5,1
28,55,1109,5,1
30,52,1138,5,1
30,50,1115,5,1
30,52,1112,5,1
29,51,1123,5,1
27,49,1090,5,1
28,55,1139,5,1
30,52,1131,5,1
30,50,1109,5,1
30,54,1085,5,1
30,49,1096,5,1
29,51,1124,5,1
29,55,1119,5,1
27,50,1110,5,1
30,55,1085,5,1
28,52,1082,5,1
29,51,1085,5,1
28,51,1106,5,1
27,48,1108,5,1
22,49,506,5,0
23,51,494,5,0
21,55,495,5,0
22,54,531,5,0
23,49,511,5,0
20,48,501,5,0
22,55,523,5,0
22,50,488,5,0
22,50,527,5,0
23,54,532,5,0
23,49,515,5,0
21,49,538,5,0
21,54,480,5,0
20,54,518,5,0
23,51,502,5,0
22,48,524,5,0
23,51,535,5,0
20,53,501,5,0
21,50,531,5,0
23,50,531,5,0
22,52,505,5,0
20,51,491,5,0
21,52,519,5,0
22,54,534,5,0
22,54,529,5,0
20,51,493,5,0
23,51,532,5,0
23,54,511,5,0
20,54,514,5,0
21,55,509,5,0
21,52,503,5,0
22,52,481,5,0
20,48,487,5,0
23,54,529,5,0
22,51,531,5,0
20,52,520,5,0
20,54,513,5,0
21,55,509,5,0
22,49,506,5,0
20,55,501,5,0
21,48,512,5,0
21,49,510,5,0
21,54,526,5,0
23,55,488,5,0
21,54,537,5,0
20,48,536,5,0
22,48,540,5,0
23,53,539,5,0
22,54,494,5,0
23,55,528,5,0
20,48,482,5,0
22,48,530,5,0
20,52,491,5,0
21,54,498,5,0
21,55,535,5,0
20,53,518,5,0
23,54,529,5,0
20,48,539,5,0
20,51,487,5,0
23,49,490,5,0
23,55,495,5,0
21,53,497,5,0
21,49,515,5,0
20,54,509,5,0
23,53,505,5,0
21,51,484,5,0
23,54,495,5,0
20,50,486,5,0
23,49,493,5,0
22,52,525,5,0
22,49,488,5,0
21,53,522,5,0
22,52,487,5,0
22,55,509,5,0
21,51,486,5,0
22,52,514,5,0
23,52,507,5,0
20,49,515,5,0
21,51,522,5,0
20,50,500,5,0
23,49,515,5,0
23,53,533,5,0
23,50,484,5,0
22,48,505,5,0
23,51,496,5,0
23,52,487,5,0
23,52,489,5,0
21,53,480,5,0
20,49,483,5,0
22,51,506,5,0
20,48,492,5,0
22,54,497,5,0
22,48,525,5,0
20,54,507,5,0
22,50,502,5,0
21,53,534,5,0
23,51,517,5,0
21,51,517,5,0
22,55,490,5,0
21,48,502,5,0
22,50,506,5,0
20,49,511,5,0
21,48,526,5,0
22,48,514,5,0
21,50,500,5,0
23,52,540,5,0
23,48,501,5,0
23,50,487,5,0
23,49,522,5,0
22,52,494,5,0
21,50,522,5,0
23,51,487,5,0
20,54,487,5,0
21,55,525,5,0
22,49,503,5,0
23,50,484,5,0
22,51,501,5,0
23,49,488,5,0
21,50,519,5,0
22,52,508,5,0
22,54,537,5,0
20,48,502,5,0
23,50,529,5,0
22,50,484,5,0
23,55,521,5,0
21,48,483,5,0
22,52,527,5,0
22,54,528,5,0
21,55,535,5,0
21,49,533,5,0
21,54,496,5,0
23,52,506,5,0
23,54,527,5,0
20,53,496,5,0
21,50,531,5,0
21,49,504,5,0
23,55,493,5,0
20,55,522,5,0
22,49,531,5,0
21,50,527,5,0
23,53,519,5,0
20,52,521,5,0
21,51,509,5,0
22,48,487,5,0
21,52,517,5,0
23,54,534,5,0
20,48,491,5,0
22,48,487,5,0
21,52,485,5,0
23,51,512,5,0
21,52,527,5,0
20,53,500,5,0
23,49,486,5,0
22,52,485,5,0
20,52,488,5,0
20,49,516,5,0
22,53,490,5,0
21,48,495,5,0
20,54,524,5,0
23,48,531,5,0
20,50,518,5,0
22,48,494,5,0
22,55,525,5,0
20,48,496,5,0
21,52,507,5,0
20,55,493,5,0
20,53,507,5,0
23,48,519,5,0
20,52,483,5,0
22,49,517,5,0
22,50,536,5,0
23,52,538,5,0
20,49,515,5,0
20,54,493,5,0
20,55,486,5,0
23,55,501,5,0
22,55,512,5,0
23,48,499,5,0
20,55,513,5,0
21,49,526,5,0
22,51,502,5,0
21,50,526,5,0
20,52,504,5,0
23,51,531,5,0
22,50,504,5,0
21,54,529,5,0
21,50,520,5,0
20,55,490,5,0
22,51,509,5,0
22,55,514,5,0
21,53,494,5,0
23,55,493,5,0
22,49,497,5,0
20,52,525,5,0
22,51,496,5,0
20,50,481,5,0
21,52,509,5,0
22,53,480,5,0
23,49,534,5,0
21,54,493,5,0
20,49,524,5,0
20,55,499,5,0
20,51,498,5,0
21,55,539,5,0
22,54,519,5,0
23,54,482,5,0
21,54,537,5,0
20,52,534,5,0
20,48,487,5,0
22,55,519,5,0
20,51,532,5,0
23,55,480,5,0
22,54,484,5,0
21,49,531,5,0
21,49,505,5,0
21,54,522,5,0
23,49,524,5,0
21,49,485,5,0
21,50,512,5,0
20,51,523,5,0
22,49,525,5,0
20,51,511,5,0
21,53,511,5,0
21,50,506,5,0
21,54,531,5,0
21,50,522,5,0
22,55,536,5,0
22,55,521,5,0
22,51,500,5,0
22,50,496,5,0
20,55,517,5,0
23,55,483,5,0
20,50,492,5,0
22,50,531,5,0
22,48,526,5,0
23,52,535,5,0
23,52,520,5,0
23,48,512,5,0
22,52,498,5,0
23,48,536,5,0
20,51,530,5,0
21,50,509,5,0
20,50,518,5,0
20,50,519,5,0
21,53,513,5,0
20,51,498,5,0
20,54,503,5,0
22,52,506,5,0
21,52,519,5,0
21,52,511,5,0
23,48,502,5,0
20,52,509,5,0
22,52,533,5,0
21,50,498,5,0
22,50,534,5,0
22,48,482,5,0
22,48,496,5,0
21,52,504,5,0
23,54,501,5,0
23,49,487,5,0
22,52,539,5,0
22,55,520,5,0
23,55,492,5,0
22,54,510,5,0
22,50,493,5,0
20,48,533,5,0
21,48,499,5,0
22,50,511,5,0
20,52,524,5,0
23,55,525,5,0
22,48,506,5,0
22,50,488,5,0
22,54,512,5,0
21,52,537,5,0
22,54,515,5,0
21,48,499,5,0
22,51,524,5,0
23,50,520,5,0
23,51,529,5,0
22,49,507,5,0
22,50,493,5,0
20,51,537,5,0
21,49,522,5,0
23,52,480,5,0
20,48,515,5,0
23,48,491,5,0
23,52,486,5,0
20,54,509,5,0
20,54,535,5,0
23,48,494,5,0
22,51,521,5,0
22,48,501,5,0
23,52,495,5,0
22,50,508,5,0
20,48,511,5,0
